platform_label,measurement_label,process
NERRS_kacsdwq,H1_OxygenSat,FALSE
NERRS_kacsdwq,H1_pH,FALSE
NERRS_kacsdwq,H1_Salinity,FALSE
NERRS_kacsdwq,H1_Turbidity,FALSE
NERRS_kacsdwq,H1_WaterDepth,FALSE
NERRS_kacsdwq,H1_WaterTemp,FALSE
NERRS_pdbbpwq,H1_Conductiv,FALSE
NERRS_pdbbpwq,H1_Oxygen,TRUE
NERRS_pdbbpwq,H1_OxygenSat,TRUE
NERRS_pdbbpwq,H1_pH,TRUE
NERRS_pdbbpwq,H1_Salinity,TRUE
NERRS_pdbbpwq,H1_Turbidity,FALSE
NERRS_pdbbpwq,H1_WaterDepth,FALSE
NERRS_pdbbpwq,H1_WaterTemp,TRUE
NERRS_pdbbywq,H1_Conductiv,FALSE
NERRS_pdbbywq,H1_Oxygen,TRUE
NERRS_pdbbywq,H1_OxygenSat,TRUE
NERRS_pdbbywq,H1_pH,TRUE
NERRS_pdbbywq,H1_Salinity,TRUE
NERRS_pdbbywq,H1_Turbidity,FALSE
NERRS_pdbbywq,H1_WaterDepth,FALSE
NERRS_pdbbywq,H1_WaterTemp,TRUE
NERRS_sfbccwq,H1_Conductiv,FALSE
NERRS_sfbccwq,H1_Oxygen,TRUE
NERRS_sfbccwq,H1_OxygenSat,TRUE
NERRS_sfbccwq,H1_pH,TRUE
NERRS_sfbccwq,H1_Salinity,TRUE
NERRS_sfbccwq,H1_Turbidity,FALSE
NERRS_sfbccwq,H1_WaterDepth,FALSE
NERRS_sfbccwq,H1_WaterTemp,TRUE
NERRS_sfbfmwq,H1_Chlorophyll,FALSE
NERRS_sfbfmwq,H1_Conductiv,FALSE
NERRS_sfbfmwq,H1_Oxygen,TRUE
NERRS_sfbfmwq,H1_OxygenSat,TRUE
NERRS_sfbfmwq,H1_pH,TRUE
NERRS_sfbfmwq,H1_Salinity,TRUE
NERRS_sfbfmwq,H1_Turbidity,FALSE
NERRS_sfbfmwq,H1_WaterDepth,FALSE
NERRS_sfbfmwq,H1_WaterTemp,TRUE
NERRS_sfbgcwq,H1_Conductiv,FALSE
NERRS_sfbgcwq,H1_Oxygen,TRUE
NERRS_sfbgcwq,H1_OxygenSat,TRUE
NERRS_sfbgcwq,H1_pH,TRUE
NERRS_sfbgcwq,H1_Salinity,TRUE
NERRS_sfbgcwq,H1_Turbidity,FALSE
NERRS_sfbgcwq,H1_WaterDepth,FALSE
NERRS_sfbgcwq,H1_WaterTemp,TRUE
NERRS_sfbsmwq,H1_Conductiv,FALSE
NERRS_sfbsmwq,H1_Oxygen,TRUE
NERRS_sfbsmwq,H1_OxygenSat,TRUE
NERRS_sfbsmwq,H1_pH,TRUE
NERRS_sfbsmwq,H1_Salinity,TRUE
NERRS_sfbsmwq,H1_Turbidity,FALSE
NERRS_sfbsmwq,H1_WaterDepth,FALSE
NERRS_sfbsmwq,H1_WaterTemp,TRUE
NERRS_soschwq,H1_Conductiv,FALSE
NERRS_soschwq,H1_Oxygen,TRUE
NERRS_soschwq,H1_OxygenSat,TRUE
NERRS_soschwq,H1_pH,TRUE
NERRS_soschwq,H1_Salinity,TRUE
NERRS_soschwq,H1_Turbidity,FALSE
NERRS_soschwq,H1_WaterDepth,FALSE
NERRS_soschwq,H1_WaterTemp,TRUE
NERRS_sosvawq,H1_Conductiv,FALSE
NERRS_sosvawq,H1_Oxygen,TRUE
NERRS_sosvawq,H1_OxygenSat,TRUE
NERRS_sosvawq,H1_pH,TRUE
NERRS_sosvawq,H1_Salinity,TRUE
NERRS_sosvawq,H1_Turbidity,FALSE
NERRS_sosvawq,H1_WaterDepth,FALSE
NERRS_sosvawq,H1_WaterTemp,TRUE
NERRS_soswiwq,H1_Conductiv,FALSE
NERRS_soswiwq,H1_Oxygen,TRUE
NERRS_soswiwq,H1_OxygenSat,TRUE
NERRS_soswiwq,H1_pH,TRUE
NERRS_soswiwq,H1_Salinity,TRUE
NERRS_soswiwq,H1_Turbidity,FALSE
NERRS_soswiwq,H1_WaterDepth,FALSE
NERRS_soswiwq,H1_WaterTemp,TRUE
NERRS_tjroswq,H1_Chlorophyll,FALSE
NERRS_tjroswq,H1_Conductiv,FALSE
NERRS_tjroswq,H1_Oxygen,TRUE
NERRS_tjroswq,H1_OxygenSat,TRUE
NERRS_tjroswq,H1_pH,TRUE
NERRS_tjroswq,H1_Salinity,TRUE
NERRS_tjroswq,H1_Turbidity,FALSE
NERRS_tjroswq,H1_WaterLevel,FALSE
NERRS_tjroswq,H1_WaterTemp,TRUE
ORCA_Dabobbay,A1_AirTemp,TRUE
ORCA_Dabobbay,A1_BarPress,TRUE
ORCA_Dabobbay,A1_CO2Air,FALSE
ORCA_Dabobbay,A1_DewTemp,FALSE
ORCA_Dabobbay,A1_SolarRad,FALSE
ORCA_Dabobbay,A1_WindDir,FALSE
ORCA_Dabobbay,A1_WindGust,FALSE
ORCA_Dabobbay,A1_WindSpeed,FALSE
ORCA_Dabobbay,H1_Chlorophyll,FALSE
ORCA_Dabobbay,H1_CO2,TRUE
ORCA_Dabobbay,H1_Oxygen,TRUE
ORCA_Dabobbay,H1_OxygenSat,TRUE
ORCA_Dabobbay,H1_Salinity,TRUE
ORCA_Dabobbay,H1_WaterDens,FALSE
ORCA_Dabobbay,H1_WaterTemp,TRUE
ORCA_Twanoh,A1_AirTemp,TRUE
ORCA_Twanoh,A1_BarPress,TRUE
ORCA_Twanoh,A1_CO2Air,FALSE
ORCA_Twanoh,A1_DewTemp,FALSE
ORCA_Twanoh,A1_SolarRad,FALSE
ORCA_Twanoh,A1_WindDir,FALSE
ORCA_Twanoh,A1_WindGust,FALSE
ORCA_Twanoh,A1_WindSpeed,FALSE
ORCA_Twanoh,H1_Chlorophyll,FALSE
ORCA_Twanoh,H1_CO2,TRUE
ORCA_Twanoh,H1_Conductiv,FALSE
ORCA_Twanoh,H1_Nitrate,FALSE
ORCA_Twanoh,H1_Oxygen,TRUE
ORCA_Twanoh,H1_OxygenSat,TRUE
