,datetime,latitude,longitude,station_id,depth,parameter,value,quality,unit,instrument,method,depth_unit
39,2022-02-27T00:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.86,1,C,YSI 6600v2,,m
40,2022-02-27T00:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
41,2022-02-27T00:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.66,1,pH,YSI 6600v2,,m
42,2022-02-27T00:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5267,1,pH,YSI 6600v2,,m
43,2022-02-27T00:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5111,1,pH,YSI 6600v2,,m
44,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,2.1,1,microg/L,YSI 6600v2,,m
45,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.13,1,mS/cm,YSI 6600v2,,m
46,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.45,1,mg/L,YSI 6600v2,,m
47,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,101.5,1,%,YSI 6600v2,,m
48,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,34.0,1,PSU,YSI 6600v2,,m
49,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,0.71,1,decibars,YSI 6600v2,,m
50,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.88,1,C,YSI 6600v2,,m
51,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
52,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.66,1,pH,YSI 6600v2,,m
53,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5252,1,pH,YSI 6600v2,,m
54,2022-02-27T01:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5102,1,pH,YSI 6600v2,,m
55,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,2.0,1,microg/L,YSI 6600v2,,m
56,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.14,1,mS/cm,YSI 6600v2,,m
57,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.27,1,mg/L,YSI 6600v2,,m
58,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,99.5,1,%,YSI 6600v2,,m
59,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,34.0,1,PSU,YSI 6600v2,,m
60,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,0.84,1,decibars,YSI 6600v2,,m
61,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
62,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
63,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.66,1,pH,YSI 6600v2,,m
64,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5248,1,pH,YSI 6600v2,,m
65,2022-02-27T01:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5094,1,pH,YSI 6600v2,,m
66,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,2.5,1,microg/L,YSI 6600v2,,m
67,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.13,1,mS/cm,YSI 6600v2,,m
68,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.27,1,mg/L,YSI 6600v2,,m
69,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,99.6,1,%,YSI 6600v2,,m
70,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,34.0,1,PSU,YSI 6600v2,,m
71,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,1.05,1,decibars,YSI 6600v2,,m
72,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
