station_id,name,source,provider,QAPP,state,latitude,longitude
OSU_CB06,"CB-06, 6NM W of Coos Bay",OSU,IPACOA,,Oregon,43.295,-124.5367
OSU_NH10,"NH-10 Buoy, Newport",OSU,IPACOA,,Oregon,44.645,-124.2985
PMELCO2_coastalla,Coastal Louisiana (LA) Buoy,PMEL-CO2,IPACOA,,Louisiana,28.9,-90.5
PMELCO2_alawai,Ala Wai HiOOS Mooring,PMEL-CO2,IPACOA,,Hawaii,21.28,-157.85
PMELCO2_cce1,California Current Ecosystem 1 Mooring,PMEL-CO2,IPACOA,,California,33.48,-122.53
PMELCO2_cce2,California Current Ecosystem 2 Mooring,PMEL-CO2,IPACOA,,California,34.324,-120.814
PMELCO2_crimp,Coral Reef Instrumented Monitoring Platform 2,PMEL-CO2,IPACOA,,Hawaii,21.46,-157.8
PMELCO2_firstlanding,CBIBS OA Buoy at First Landing,PMEL-CO2,IPACOA,,Maryland,37.0,-76.1
PMELCO2_gakoa,Gulf of Alaska OA Mooring,PMEL-CO2,IPACOA,,Alaska,59.85,-149.5
PMELCO2_kaneohe,Kaneohe Offshore HiOOS Observatory,PMEL-CO2,IPACOA,,Hawaii,21.48,-157.78
PMELCO2_kilonalu,Kilo Nalu Offshore HiOOS Observatory,PMEL-CO2,IPACOA,,Hawaii,21.29,-157.87
PMELCO2_kodiak,"Kodiak, Gulf of Alaska OA Mooring",PMEL-CO2,IPACOA,,Alaska,57.7,-152.31
PMELCO2_laparguera,La Parguera Coral Reef OA Mooring,PMEL-CO2,IPACOA,,Puerto Rico,17.95,-67.05
PMELCO2_m2,SE Bering Sea M2 OA Mooring,PMEL-CO2,IPACOA,,Alaska,56.51,-164.04
PMELCO2_nh,Gulf of Maine Mooring,PMEL-CO2,IPACOA,,New Hampshire,43.02,-70.54
PMELCO2_seak,"Port Conclusion, Gulf of Alaska OA Mooring",PMEL-CO2,IPACOA,,Alaska,56.0,-134.0
PMELCO2_whots,WHOI Hawaii Ocean Time-series Station Mooring,PMEL-CO2,IPACOA,,Hawaii,22.67,-157.98
PSI_Baycenter,"PCSGA - Bay Center Port mooring, Willapa Bay",PSI,IPACOA,,Washington,46.629,-123.9516
PCS_Penncove1,"Penn Cove Shellfish, Coupeville - Whidbey Island",PennCoveShellfish,IPACOA,,Washington,48.2191,-122.7048
CARLSBD_Aquafarm1,Agua Hedionda Lagoon - Carlsbad Aquafarm,Carlsbad Aquafarm,IPACOA,,California,33.1407,-117.3389
KC_SEAQYSI,Seattle Aquarium Mooring - Elliott Bay,King County,IPACOA,,Washington,47.608,-122.3438
STA_Sitka1,Sitka Tribe of Alaska Burke-o-Lator site - Sitka,STA,IPACOA,,Alaska,57.0526,-135.3456
TAF_Dabobbay,"PCSGA - Taylor Shellfish Hatchery intakes, Dabob Bay",TaylorShellfish,IPACOA,,Washington,47.8199,-122.8215
WCSH_Whiskey1,"PCSGA - Whiskey Creek Shellfish Hatchery, Netarts Bay",WhiskeyCrShelfish,IPACOA,,Oregon,45.4214,-123.9362
DOCKTON,Dockton Park,King County,King County,,Washington,47.37611,-122.45722
POINT_WILLIAMS,Point Williams,King County,King County,,Washington,47.53716,-122.40612
QUARTER_MASTER_YC,Quarter Master Yacht Club,King County,King County,,Washington,47.39394,-122.4635
SEATTLE_AQUARIUM,Seattle Aquarium Mooring - Elliott Bay,King County,King County,,Washington,47.60786,-122.3436
