,station_id,parameter,unit,instrument,method,equipment_id
79,monterey-bay-aquarium-seawate,sea_water_temperature,C,,,
80,monterey-bay-aquarium-seawate,sea_water_ph_reported_on_total_scale,pH,,,
81,morro-bay-bs1,mass_concentration_of_chlorophyll_in_sea_water,microg/L,,,
82,morro-bay-bs1,sea_water_electrical_conductivity,mS/cm,,,
83,morro-bay-bs1,mass_concentration_of_oxygen_in_sea_water,micromol/L,,,
84,morro-bay-bs1,fractional_saturation_of_oxygen_in_sea_water,%,,,
85,morro-bay-bs1,sea_water_practical_salinity,PSU,,,
86,morro-bay-bs1,sea_water_pressure,decibars,,,
87,morro-bay-bs1,sea_water_temperature,C,,,
88,morro-bay-bs1,sea_water_turbidity,ntu,,,
89,morro-bay-bs1,sea_water_ph_reported_on_total_scale_external,pH,,,
90,morro-bay-bs1,sea_water_ph_reported_on_total_scale_internal,pH,,,
91,newport-pier-automated-shore-sta,mass_concentration_of_chlorophyll_in_sea_water,microg/L,,,
92,newport-pier-automated-shore-sta,sea_water_electrical_conductivity,mS/cm,,,
93,newport-pier-automated-shore-sta,mass_concentration_of_oxygen_in_sea_water,mL/L,,,
94,newport-pier-automated-shore-sta,sea_water_practical_salinity,PSU,,,
95,newport-pier-automated-shore-sta,sea_water_sigma_t,kg.m-3,,,
96,newport-pier-automated-shore-sta,sea_water_pressure,decibars,,,
97,newport-pier-automated-shore-sta,sea_water_temperature,C,,,
98,newport-pier-automated-shore-sta,sea_water_ph_reported_on_total_scale_external,pH,,,
99,newport-pier-automated-shore-sta,sea_water_ph_reported_on_total_scale_internal,pH,,,
100,newport-pier-automated-shore-sta,sea_water_ph_reported_on_total_scale_salinity_corrected,pH,,,
101,ooi-ce01issm-rid16-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
102,ooi-ce01issm-rid16-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
103,ooi-ce01issm-mfd35-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
104,ooi-ce01issm-mfd35-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
105,ooi-ce04osbp-lj01c-10-phsend107,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
106,ooi-ce04osbp-lj01c-10-phsend107,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
107,ooi-ce02shbp-lj01d-10-phsend103,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
108,ooi-ce02shbp-lj01d-10-phsend103,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
109,ooi-ce06issm-rid16-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
110,ooi-ce06issm-rid16-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
111,ooi-ce09ossm-rid26-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
112,ooi-ce09ossm-rid26-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
113,ooi-ce07shsm-rid26-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
114,ooi-ce07shsm-rid26-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
115,ooi-ce07shsm-mfd35-06-phsend000,sea_water_practical_salinity,PSU,Sunburst Sensor Sami II,,
116,ooi-ce07shsm-mfd35-06-phsend000,sea_water_ph_reported_on_total_scale,pH,Sunburst Sensor Sami II,,
117,DOCKTON,Air_Pressure,inHg,,,
118,DOCKTON,Air_Temperature,F,Vaisala WXT510 meteorological station,,
119,DOCKTON,Dissolved_Oxygen,mg/L,YSI 6600 V2,,
120,DOCKTON,Dissolved_Oxygen_Sat,%,YSI 6600 V2,,
121,DOCKTON,Sonde_pH,pH,Sea-Bird HydroCAT-EP datasonde,,
122,DOCKTON,SeaFET_External_pH_recalc_w_salinity,pH,Satlantic SeaFET Sensor,,
123,DOCKTON,Salinity,PSU,Sea-Bird HydroCAT-EP datasonde,,
124,DOCKTON,Water_Temperature,C,Sea-Bird HydroCAT-EP datasonde,,
125,DOCKTON,SeaFET_Temperature,C,Satlantic SeaFET Sensor,,
126,POINT_WILLIAMS,Air_Pressure,inHg,,,
127,POINT_WILLIAMS,Air_Temperature,F,Vaisala WXT510 meteorological station,,
128,POINT_WILLIAMS,Dissolved_Oxygen,mg/L,YSI 6600 V2,,
129,POINT_WILLIAMS,Dissolved_Oxygen_Sat,%,YSI 6600 V2,,
130,POINT_WILLIAMS,Sonde_pH,pH,Sea-Bird HydroCAT-EP datasonde,,
131,POINT_WILLIAMS,SeaFET_External_pH_recalc_w_salinity,pH,Satlantic SeaFET Sensor,,
132,POINT_WILLIAMS,Salinity,PSU,Sea-Bird HydroCAT-EP datasonde,,
133,POINT_WILLIAMS,Water_Temperature,C,Sea-Bird HydroCAT-EP datasonde,,
134,POINT_WILLIAMS,SeaFET_Temperature,C,Satlantic SeaFET Sensor,,
135,QUARTER_MASTER_YC,Air_Pressure,inHg,,,
136,QUARTER_MASTER_YC,Air_Temperature,F,Vaisala WXT510 meteorological station,,
137,QUARTER_MASTER_YC,Dissolved_Oxygen,mg/L,YSI 6600 V2,,
138,QUARTER_MASTER_YC,Dissolved_Oxygen_Sat,%,YSI 6600 V2,,
139,QUARTER_MASTER_YC,Sonde_pH,pH,Sea-Bird HydroCAT-EP datasonde,,
140,QUARTER_MASTER_YC,SeaFET_External_pH_recalc_w_salinity,pH,Satlantic SeaFET Sensor,,
141,QUARTER_MASTER_YC,Salinity,PSU,Sea-Bird HydroCAT-EP datasonde,,
142,QUARTER_MASTER_YC,Water_Temperature,C,Sea-Bird HydroCAT-EP datasonde,,
143,QUARTER_MASTER_YC,SeaFET_Temperature,C,Satlantic SeaFET Sensor,,
144,SEATTLE_AQUARIUM,Air_Pressure,inHg,,,
145,SEATTLE_AQUARIUM,Air_Temperature,F,Vaisala WXT510 meteorological station,,
146,SEATTLE_AQUARIUM,Dissolved_Oxygen,mg/L,YSI 6600 V2,,
147,SEATTLE_AQUARIUM,Dissolved_Oxygen_Sat,%,YSI 6600 V2,,
148,SEATTLE_AQUARIUM,Sonde_pH,pH,Sea-Bird HydroCAT-EP datasonde,,
149,SEATTLE_AQUARIUM,SeaFET_External_pH_recalc_w_salinity,pH,Satlantic SeaFET Sensor,,
150,SEATTLE_AQUARIUM,Salinity,PSU,Sea-Bird HydroCAT-EP datasonde,,
151,SEATTLE_AQUARIUM,Water_Temperature,C,Sea-Bird HydroCAT-EP datasonde,,
152,SEATTLE_AQUARIUM,SeaFET_Temperature,C,Satlantic SeaFET Sensor,,
153,test-ceden,mass_concentration_of_chlorophyll_in_sea_water,microg/L,YSI 6600v2,,
154,test-ceden,sea_water_electrical_conductivity,mS/cm,YSI 6600v2,,
155,test-ceden,mass_concentration_of_oxygen_in_sea_water,mg/L,YSI 6600v2,,
156,test-ceden,fractional_saturation_of_oxygen_in_sea_water,%,YSI 6600v2,,
157,test-ceden,sea_water_practical_salinity,PSU,YSI 6600v2,,
158,test-ceden,sea_water_pressure,decibars,YSI 6600v2,,
159,test-ceden,sea_water_temperature,C,YSI 6600v2,,
160,test-ceden,sea_water_turbidity,ntu,YSI 6600v2,,
161,test-ceden,sea_water_ph_reported_on_total_scale,pH,YSI 6600v2,,
162,test-ceden,sea_water_ph_reported_on_total_scale_external,pH,YSI 6600v2,,
163,test-ceden,sea_water_ph_reported_on_total_scale_internal,pH,YSI 6600v2,,
164,elkapwq,temp,C,YSI 6560,,
165,elkapwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
166,elkapwq,do_pct,%,YSI rapid pulse 6562,,
167,elkapwq,ph,pH,YSI 6600 V2,,
168,elkapwq,sal,PSU,,,
169,elkapwq,spcond,mS/cm,YSI 6560,,
170,elkapwq,do_mgl,mg/L,YSI rapid pulse 6562,,
171,elksmwq,temp,C,YSI 6560,,
172,elksmwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
173,elksmwq,do_pct,%,YSI rapid pulse 6562,,
174,elksmwq,ph,pH,YSI 6600 V2,,
175,elksmwq,sal,PSU,,,
176,elksmwq,spcond,mS/cm,YSI 6560,,
177,elksmwq,do_mgl,mg/L,YSI rapid pulse 6562,,
178,elkvmwq,temp,C,YSI 6560,,
179,elkvmwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
180,elkvmwq,do_pct,%,YSI rapid pulse 6562,,
181,elkvmwq,ph,pH,YSI 6600 V2,,
182,elkvmwq,sal,PSU,,,
183,elkvmwq,spcond,mS/cm,YSI 6560,,
184,elkvmwq,do_mgl,mg/L,YSI rapid pulse 6562,,
185,job09wq,temp,C,YSI 6560,,
186,job09wq,turb,ntu,YSI 6600 V2 - sensor 6136,,
187,job09wq,do_pct,%,YSI rapid pulse 6562,,
188,job09wq,ph,pH,YSI 6600 V2,,
189,job09wq,sal,PSU,,,
190,job09wq,spcond,mS/cm,YSI 6560,,
191,job09wq,do_mgl,mg/L,YSI rapid pulse 6562,,
192,job20wq,temp,C,YSI 6560,,
193,job20wq,turb,ntu,YSI 6600 V2 - sensor 6136,,
194,job20wq,do_pct,%,YSI rapid pulse 6562,,
195,job20wq,ph,pH,YSI 6600 V2,,
196,job20wq,sal,PSU,,,
197,job20wq,spcond,mS/cm,YSI 6560,,
198,job20wq,do_mgl,mg/L,YSI rapid pulse 6562,,
199,kachdwq,temp,C,YSI 6560,,
200,kachdwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
201,kachdwq,do_pct,%,YSI rapid pulse 6562,,
202,kachdwq,ph,pH,YSI 6600 V2,,
203,kachdwq,sal,PSU,,,
204,kachdwq,spcond,mS/cm,YSI 6560,,
205,kachdwq,do_mgl,mg/L,YSI rapid pulse 6562,,
206,kacsdwq,temp,C,YSI 6560,,
207,kacsdwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
208,kacsdwq,do_pct,%,YSI rapid pulse 6562,,
209,kacsdwq,ph,pH,YSI 6600 V2,,
210,kacsdwq,sal,PSU,,,
211,kacsdwq,spcond,mS/cm,YSI 6560,,
212,kacsdwq,do_mgl,mg/L,YSI rapid pulse 6562,,
213,pdbbpwq,temp,C,YSI 6560,,
214,pdbbpwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
215,pdbbpwq,do_pct,%,YSI rapid pulse 6562,,
216,pdbbpwq,ph,pH,YSI 6600 V2,,
217,pdbbpwq,sal,PSU,,,
218,pdbbpwq,spcond,mS/cm,YSI 6560,,
219,pdbbpwq,do_mgl,mg/L,YSI rapid pulse 6562,,
220,pdbbywq,temp,C,YSI 6560,,
221,pdbbywq,turb,ntu,YSI 6600 V2 - sensor 6136,,
222,pdbbywq,do_pct,%,YSI rapid pulse 6562,,
223,pdbbywq,ph,pH,YSI 6600 V2,,
224,pdbbywq,sal,PSU,,,
225,pdbbywq,spcond,mS/cm,YSI 6560,,
226,pdbbywq,do_mgl,mg/L,YSI rapid pulse 6562,,
227,sfbccwq,temp,C,YSI 6560,,
228,sfbccwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
229,sfbccwq,do_pct,%,YSI rapid pulse 6562,,
230,sfbccwq,ph,pH,YSI 6600 V2,,
231,sfbccwq,sal,PSU,,,
232,sfbccwq,spcond,mS/cm,YSI 6560,,
233,sfbccwq,do_mgl,mg/L,YSI rapid pulse 6562,,
234,sfbfmwq,temp,C,YSI 6560,,
235,sfbfmwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
236,sfbfmwq,do_pct,%,YSI rapid pulse 6562,,
237,sfbfmwq,ph,pH,YSI 6600 V2,,
238,sfbfmwq,sal,PSU,,,
239,sfbfmwq,spcond,mS/cm,YSI 6560,,
240,sfbfmwq,do_mgl,mg/L,YSI rapid pulse 6562,,
241,sfbgcwq,temp,C,YSI 6560,,
242,sfbgcwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
243,sfbgcwq,do_pct,%,YSI rapid pulse 6562,,
244,sfbgcwq,ph,pH,YSI 6600 V2,,
245,sfbgcwq,sal,PSU,,,
246,sfbgcwq,spcond,mS/cm,YSI 6560,,
247,sfbgcwq,do_mgl,mg/L,YSI rapid pulse 6562,,
248,sfbsmwq,temp,C,YSI 6560,,
249,sfbsmwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
250,sfbsmwq,do_pct,%,YSI rapid pulse 6562,,
251,sfbsmwq,ph,pH,YSI 6600 V2,,
252,sfbsmwq,sal,PSU,,,
253,sfbsmwq,spcond,mS/cm,YSI 6560,,
254,sfbsmwq,do_mgl,mg/L,YSI rapid pulse 6562,,
255,soschwq,temp,C,YSI 6560,,
256,soschwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
257,soschwq,do_pct,%,YSI rapid pulse 6562,,
