station_id,date_time,parameter,value,unit,depth,depth_unit
NERRS_sfbccwq,2021-10-14 17:00:00-07:00,H1_Salinity,36.5,PSU,-27,ft
NERRS_sfbccwq,2021-10-14 17:15:00-07:00,H1_Salinity,36.6,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 17:30:00-07:00,H1_Salinity,36.9,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 17:45:00-07:00,H1_Salinity,37.2,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 18:00:00-07:00,H1_Salinity,37.4,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 18:15:00-07:00,H1_Salinity,38.5,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 18:30:00-07:00,H1_Salinity,38.5,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 18:45:00-07:00,H1_Salinity,38.5,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 19:00:00-07:00,H1_Salinity,38.5,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 19:15:00-07:00,H1_Salinity,38.5,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 19:30:00-07:00,H1_Salinity,38.6,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 19:45:00-07:00,H1_Salinity,38.6,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 20:00:00-07:00,H1_Salinity,38.6,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 20:15:00-07:00,H1_Salinity,38.7,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 20:30:00-07:00,H1_Salinity,38.6,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 20:45:00-07:00,H1_Salinity,38.8,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 21:00:00-07:00,H1_Salinity,38.5,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 21:15:00-07:00,H1_Salinity,38.3,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 21:30:00-07:00,H1_Salinity,38.1,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 21:45:00-07:00,H1_Salinity,38.0,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 22:00:00-07:00,H1_Salinity,38.0,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 22:15:00-07:00,H1_Salinity,37.9,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 22:30:00-07:00,H1_Salinity,37.8,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 22:45:00-07:00,H1_Salinity,36.7,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 23:00:00-07:00,H1_Salinity,36.5,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 23:15:00-07:00,H1_Salinity,36.3,PSU,-25,ft
NERRS_sfbccwq,2021-10-14 23:30:00-07:00,H1_Salinity,36.0,PSU,-26,ft
NERRS_sfbccwq,2021-10-14 23:45:00-07:00,H1_Salinity,36.2,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 00:00:00-07:00,H1_Salinity,35.6,PSU,-26,ft
NERRS_sfbccwq,2021-10-15 00:15:00-07:00,H1_Salinity,36.1,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 00:30:00-07:00,H1_Salinity,35.8,PSU,-26,ft
