platform_label,measurement_label,process
NERRS_pdbbywq,H1_pH,True
NERRS_pdbbywq,H1_Salinity,True
NERRS_pdbbywq,H1_Turbidity,False
NERRS_pdbbywq,H1_WaterDepth,False
NERRS_pdbbywq,H1_WaterTemp,True
NERRS_sfbccwq,H1_Conductiv,False
NERRS_sfbccwq,H1_Oxygen,True
NERRS_sfbccwq,H1_OxygenSat,True
NERRS_sfbccwq,H1_pH,True
NERRS_sfbccwq,H1_Salinity,True
NERRS_sfbccwq,H1_Turbidity,False
NERRS_sfbccwq,H1_WaterDepth,False
NERRS_sfbccwq,H1_WaterTemp,True
NERRS_sfbfmwq,H1_Chlorophyll,False
NERRS_sfbfmwq,H1_Conductiv,False
NERRS_sfbfmwq,H1_Oxygen,True
NERRS_sfbfmwq,H1_OxygenSat,True
NERRS_sfbfmwq,H1_pH,True
NERRS_sfbfmwq,H1_Salinity,True
NERRS_sfbfmwq,H1_Turbidity,False
NERRS_sfbfmwq,H1_WaterDepth,False
NERRS_sfbfmwq,H1_WaterTemp,True
NERRS_sfbgcwq,H1_Conductiv,False
NERRS_sfbgcwq,H1_Oxygen,True
NERRS_sfbgcwq,H1_OxygenSat,True
NERRS_sfbgcwq,H1_pH,True
NERRS_sfbgcwq,H1_Salinity,True
NERRS_sfbgcwq,H1_Turbidity,False
NERRS_sfbgcwq,H1_WaterDepth,False
NERRS_sfbgcwq,H1_WaterTemp,True
NERRS_sfbsmwq,H1_Conductiv,False
NERRS_sfbsmwq,H1_Oxygen,True
NERRS_sfbsmwq,H1_OxygenSat,True
NERRS_sfbsmwq,H1_pH,True
NERRS_sfbsmwq,H1_Salinity,True
NERRS_sfbsmwq,H1_Turbidity,False
NERRS_sfbsmwq,H1_WaterDepth,False
NERRS_sfbsmwq,H1_WaterTemp,True
NERRS_soschwq,H1_Conductiv,False
NERRS_soschwq,H1_Oxygen,True
NERRS_soschwq,H1_OxygenSat,True
NERRS_soschwq,H1_pH,True
NERRS_soschwq,H1_Salinity,True
NERRS_soschwq,H1_Turbidity,False
NERRS_soschwq,H1_WaterDepth,False
NERRS_soschwq,H1_WaterTemp,True
NERRS_sosvawq,H1_Conductiv,False
NERRS_sosvawq,H1_Oxygen,True
NERRS_sosvawq,H1_OxygenSat,True
NERRS_sosvawq,H1_pH,True
NERRS_sosvawq,H1_Salinity,True
NERRS_sosvawq,H1_Turbidity,False
NERRS_sosvawq,H1_WaterDepth,False
NERRS_sosvawq,H1_WaterTemp,True
NERRS_soswiwq,H1_Conductiv,False
NERRS_soswiwq,H1_Oxygen,True
NERRS_soswiwq,H1_OxygenSat,True
NERRS_soswiwq,H1_pH,True
NERRS_soswiwq,H1_Salinity,True
NERRS_soswiwq,H1_Turbidity,False
NERRS_soswiwq,H1_WaterDepth,False
NERRS_soswiwq,H1_WaterTemp,True
NERRS_tjroswq,H1_Chlorophyll,False
NERRS_tjroswq,H1_Conductiv,False
NERRS_tjroswq,H1_Oxygen,True
NERRS_tjroswq,H1_OxygenSat,True
NERRS_tjroswq,H1_pH,True
NERRS_tjroswq,H1_Salinity,True
NERRS_tjroswq,H1_Turbidity,False
NERRS_tjroswq,H1_WaterLevel,False
NERRS_tjroswq,H1_WaterTemp,True
ORCA_Dabobbay,A1_AirTemp,True
ORCA_Dabobbay,A1_BarPress,True
ORCA_Dabobbay,A1_CO2Air,False
ORCA_Dabobbay,A1_DewTemp,False
ORCA_Dabobbay,A1_SolarRad,False
ORCA_Dabobbay,A1_WindDir,False
ORCA_Dabobbay,A1_WindGust,False
ORCA_Dabobbay,A1_WindSpeed,False
ORCA_Dabobbay,H1_Chlorophyll,False
ORCA_Dabobbay,H1_CO2,True
ORCA_Dabobbay,H1_Oxygen,True
ORCA_Dabobbay,H1_OxygenSat,True
ORCA_Dabobbay,H1_Salinity,True
ORCA_Dabobbay,H1_WaterDens,False
ORCA_Dabobbay,H1_WaterTemp,True
ORCA_Twanoh,A1_AirTemp,True
ORCA_Twanoh,A1_BarPress,True
ORCA_Twanoh,A1_CO2Air,False
ORCA_Twanoh,A1_DewTemp,False
ORCA_Twanoh,A1_SolarRad,False
ORCA_Twanoh,A1_WindDir,False
ORCA_Twanoh,A1_WindGust,False
ORCA_Twanoh,A1_WindSpeed,False
ORCA_Twanoh,H1_Chlorophyll,False
ORCA_Twanoh,H1_CO2,True
ORCA_Twanoh,H1_Conductiv,False
ORCA_Twanoh,H1_Nitrate,False
ORCA_Twanoh,H1_Oxygen,True
ORCA_Twanoh,H1_OxygenSat,True
ORCA_Twanoh,H1_PhotActiveRad,False
ORCA_Twanoh,H1_Salinity,True
ORCA_Twanoh,H1_WaterDens,False
ORCA_Twanoh,H1_WaterTemp,True
OSU_CB06,A1_AirTemp,True
OSU_CB06,A1_BarPress,True
OSU_CB06,A1_CO2Air,False
OSU_CB06,A1_SolarRad,False
OSU_CB06,A1_WindDir,False
OSU_CB06,A1_WindSpeed,False
OSU_CB06,H1_CO2,True
OSU_CB06,H1_pH,True
OSU_CB06,H1_Salinity,True
OSU_CB06,H1_WaterTemp,True
OSU_CB06,H2_Conductiv,False
OSU_NH10,A1_AirTemp,True
OSU_NH10,A1_BarPress,True
OSU_NH10,A1_SolarRad,False
OSU_NH10,A1_WindDir,False
OSU_NH10,A1_WindSpeed,False
OSU_NH10,H1_Pressure,True
OSU_NH10,H1_Salinity,True
OSU_NH10,H1_WaterTemp,True
OSU_NH10,H2_Conductiv,False
PMELCO2_coastalla,A1_CO2Air,False
PMELCO2_coastalla,H1_CO2,False
PMELCO2_coastalla,H1_pH,False
PMELCO2_coastalla,H1_Salinity,False
PMELCO2_coastalla,H1_WaterTemp,False
PMELCO2_155w0,A1_CO2Air,False
PMELCO2_155w0,H1_CO2,False
PMELCO2_155w0,H1_Salinity,False
PMELCO2_155w0,H1_WaterTemp,False
PMELCO2_165e0,A1_CO2Air,False
PMELCO2_165e0,H1_CO2,False
PMELCO2_165e0,H1_pH,False
PMELCO2_165e0,H1_Salinity,False
PMELCO2_165e0,H1_WaterTemp,False
PMELCO2_165e8s,A1_CO2Air,False
PMELCO2_165e8s,H1_CO2,False
PMELCO2_165e8s,H1_Salinity,False
PMELCO2_165e8s,H1_WaterTemp,False
PMELCO2_170w,A1_CO2Air,False
PMELCO2_170w,H1_CO2,False
PMELCO2_170w,H1_Salinity,False
PMELCO2_170w,H1_WaterTemp,False
PMELCO2_HogReef,A1_CO2Air,False
PMELCO2_HogReef,H1_CO2,False
PMELCO2_HogReef,H1_Salinity,False
PMELCO2_HogReef,H1_WaterTemp,False
PMELCO2_alawai,A1_CO2Air,False
PMELCO2_alawai,H1_CO2,True
PMELCO2_alawai,H1_Salinity,True
PMELCO2_alawai,H1_WaterTemp,True
PMELCO2_cce1,A1_CO2Air,False
PMELCO2_cce1,H1_CO2,True
PMELCO2_cce1,H1_pH,True
PMELCO2_cce1,H1_Salinity,True
PMELCO2_cce1,H1_WaterTemp,True
PMELCO2_cce2,A1_CO2Air,False
PMELCO2_cce2,H1_CO2,True
PMELCO2_cce2,H1_pH,True
PMELCO2_cce2,H1_Salinity,True
PMELCO2_cce2,H1_WaterTemp,True
PMELCO2_cheeca,A1_CO2Air,False
PMELCO2_cheeca,H1_CO2,False
PMELCO2_cheeca,H1_pH,False
PMELCO2_cheeca,H1_Salinity,False
PMELCO2_cheeca,H1_WaterTemp,False
PMELCO2_chuukk1,A1_CO2Air,False
PMELCO2_chuukk1,H1_CO2,False
PMELCO2_chuukk1,H1_pH,False
PMELCO2_chuukk1,H1_Salinity,False
PMELCO2_chuukk1,H1_WaterTemp,False
PMELCO2_coastalms,A1_CO2Air,False
PMELCO2_coastalms,H1_CO2,False
PMELCO2_coastalms,H1_pH,False
PMELCO2_coastalms,H1_Salinity,False
PMELCO2_coastalms,H1_WaterTemp,False
PMELCO2_crescent,A1_CO2Air,False
PMELCO2_crescent,H1_CO2,False
PMELCO2_crescent,H1_Salinity,False
PMELCO2_crescent,H1_WaterTemp,False
PMELCO2_crimp,A1_CO2Air,False
PMELCO2_crimp,H1_CO2,True
PMELCO2_crimp,H1_pH,True
PMELCO2_crimp,H1_Salinity,True
PMELCO2_crimp,H1_WaterTemp,True
PMELCO2_firstlanding,A1_CO2Air,False
PMELCO2_firstlanding,H1_CO2,False
PMELCO2_firstlanding,H1_pH,False
PMELCO2_firstlanding,H1_Salinity,False
PMELCO2_firstlanding,H1_WaterTemp,False
PMELCO2_gakoa,A1_CO2Air,False
PMELCO2_gakoa,H1_CO2,False
PMELCO2_gakoa,H1_pH,False
PMELCO2_gakoa,H1_Salinity,False
